ProductId,ItemCode,ItemDescription,FamilyName,GroupHeader,MainGroup,SubGroup1,SubGroup2,SubGroup3,SubGroup4,SubGroup5,SubGroup6,SubGroup7,SubGroup8,ProductFamily,ItemPurchaseType,Price in USD - P.Y,Price in USD - C.Y,Price in INR - P.Y,Price in INR - C.Y,AnnexureId,UnitofMeasures,EDApplicable,VATApplicable,PackageType,VariantCode,VariantDescription,BelongsTo,,,,
1,B00C292215-,Base Cabinet, Open, 29H x 22D x 15L,Steel Cabinet-Sitting-Base Mounted-Open-Kewaunee-B00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Open Cabinets,,,B00C29,Import,900,900,900,900,2,Nos,,Nos,,,,Furniture,,,,
2,B00C292218-,Base Cabinet, Open, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Open-Kewaunee-B00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Open Cabinets,,,B00C30,Import,900,900,900,900,2,Nos,,Nos,,,,Furniture,,,,
3,B00C292221-,Base Cabinet, Open, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Open-Kewaunee-B00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Open Cabinets,,,B00C31,Import,900,900,900,900,2,Nos,,Nos,,,,Furniture,,,,
4,B00C292224-,Base Cabinet, Open, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Open-Kewaunee-B00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Open Cabinets,,,B00C32,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
5,B00C292230-,Base Cabinet, Open, 29H x 22D x 30L,Steel Cabinet-Sitting-Base Mounted-Open-Kewaunee-B00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Open Cabinets,,,B00C33,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
6,B00C292236-,Base Cabinet, Open, 29H x 22D x 36L,Steel Cabinet-Sitting-Base Mounted-Open-Kewaunee-B00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Open Cabinets,,,B00C34,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
7,B00C292242-,Base Cabinet, Open, 29H x 22D x 42L,Steel Cabinet-Sitting-Base Mounted-Open-Kewaunee-B00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Open Cabinets,,,B00C35,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
8,B00C292248-,Base Cabinet, Open, 29H x 22D x 48L,Steel Cabinet-Sitting-Base Mounted-Open-Kewaunee-B00.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Open Cabinets,,,B00C36,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
9,C03C292215-,Base Cabinet, 1 RH Door, 29H x 22D x 15L,Steel Cabinet-Sitting-Base Mounted-Right Hand Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
10,C03C292218-,Base Cabinet, 1 RH Door, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Right Hand Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C30,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
11,C03C292221-,Base Cabinet, 1 RH Door, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Right Hand Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C31,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
12,C03C292224-,Base Cabinet, 1 RH Door, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Right Hand Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C32,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
13,C03C292215L,Base Cabinet, 1 LH Door, 29H x 22D x 15L,Steel Cabinet-Sitting-Base Mounted-Left Hand Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C33,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
14,C03C292218L,Base Cabinet, 1 LH Door, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Left Hand Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C34,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
15,C03C292221L,Base Cabinet, 1 LH Door, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Left Hand Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C35,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
16,C03C292224L,Base Cabinet, 1 LH Door, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Left Hand Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C36,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
17,C03C292230-,Base Cabinet, 2 Door, 29H x 22D x 30L,Steel Cabinet-Sitting-Base Mounted-Double Cupboard-Kewaunee-C03.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Cupboard Cabinet,,,C03C37,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
